regionID,constellationID,solarSystemID,solarSystemName,x,y,z,xMin,xMax,yMin,yMax,zMin,zMax,luminosity,border,fringe,corridor,hub,international,regional,constellation,security,factionID,radius,sunTypeID,securityClass
10000001,20000001,30000001,Tanoo,-88510792599980608.0000000000,42369443966878896.0000000000,-44513525346479696.0000000000,-88511903148490592.0000000000,-88509256471760608.0000000000,42369297927489104.0000000000,42369645749263904.0000000000,44513036355892800.0000000000,44514111689782896.0000000000,0.0157500000,1,0,0,1,1,1,None,0.8583240688,500007,1323338364984.0000000000,45041,B
10000001,20000001,30000002,Lashesih,-103300968263126000.0000000000,41707503568269904.0000000000,-29856304129795100.0000000000,-103301565089828000.0000000000,-103299528289840000.0000000000,41707467566727800.0000000000,41707590413426600.0000000000,29856173282507000.0000000000,29856912011988000.0000000000,0.0128200000,1,0,1,0,1,1,None,0.7516891467,500007,1018399993728.0000000000,45037,B
10000001,20000001,30000003,Akpivem,-91174141133075296.0000000000,43938227486247200.0000000000,-56482824383339904.0000000000,-91178287363603504.0000000000,-91173340638605200.0000000000,43938185719395296.0000000000,43938444193380400.0000000000,56481267537910496.0000000000,56483655715390496.0000000000,0.6213000000,1,0,0,1,0,0,None,0.8462923524,500007,2473362499136.0000000000,3799,B
10000001,20000001,30000004,Jark,-93675926352178896.0000000000,50604244962328896.0000000000,-28403529106921700.0000000000,-93677382085044704.0000000000,-93675486150896608.0000000000,50604201734808704.0000000000,50604387914744896.0000000000,28403308300704900.0000000000,28406851125344300.0000000000,0.3461000000,1,0,1,0,1,1,None,0.8170005312,500007,1771412319698.0000000000,45030,B
10000001,20000001,30000005,Sasta,-94782157961997600.0000000000,43126247352903296.0000000000,-31896707679918000.0000000000,-94782866241535504.0000000000,-94777738348823696.0000000000,43126190605720800.0000000000,43126597636738800.0000000000,31892607357474000.0000000000,31896947011689000.0000000000,0.0240300000,1,0,0,1,0,0,None,0.8143367281,500007,2563946355912.0000000000,45040,B
10000001,20000001,30000006,Zaid,-84792151138856192.0000000000,52313455798179296.0000000000,-57073934529882304.0000000000,-84793773315320000.0000000000,-84790304431444096.0000000000,52313243548626304.0000000000,52313642323674000.0000000000,57073253488129400.0000000000,57075591223245904.0000000000,0.0232400000,1,0,1,0,0,0,None,0.8642291534,500007,1734441937976.0000000000,45031,B
10000001,20000001,30000007,Yuzier,-90367509013110208.0000000000,53447700930943296.0000000000,-49040399037769904.0000000000,-90368455589897696.0000000000,-90365860977341600.0000000000,53447587319198200.0000000000,53447898494476096.0000000000,49039836463312800.0000000000,49040669843783000.0000000000,0.0146900000,0,0,0,1,0,0,None,0.9065555105,500007,1297306278056.0000000000,3800,B
10000001,20000001,30000008,Nirbhi,-91576103536388496.0000000000,57332802739327696.0000000000,-55255057964526304.0000000000,-91579534302267696.0000000000,-91574341925251104.0000000000,57332775890501904.0000000000,57332816522733904.0000000000,55252219447897200.0000000000,55259653044695504.0000000000,0.0398100000,1,0,0,1,0,0,None,0.8821157148,500007,3716798399124.0000000000,45039,B
10000001,20000002,30000009,Sooma,-84094731140215200.0000000000,69205928804160704.0000000000,-75226052138828800.0000000000,-84095782483213104.0000000000,-84092995295928096.0000000000,69205920050711696.0000000000,69205943271846096.0000000000,75225464050781504.0000000000,75229135709334896.0000000000,0.0147900000,0,1,0,0,0,0,None,0.5778194816,500007,1835829276688.0000000000,45039,B1
10000001,20000002,30000010,Chidah,-80588856520120800.0000000000,61645557287376800.0000000000,-79770931668461904.0000000000,-80590207811444192.0000000000,-80584539285184896.0000000000,61645378830638600.0000000000,61646127437224000.0000000000,79769194381150496.0000000000,79772810227654800.0000000000,0.0749800000,0,0,0,1,0,0,None,0.5390520130,500007,2834263129672.0000000000,8,B1
10000001,20000002,30000011,Shenela,-69575463334855200.0000000000,57122325440514704.0000000000,-80659835202844608.0000000000,-69575636549884600.0000000000,-69574314401968304.0000000000,57122244402671000.0000000000,57122337658314496.0000000000,80657805639471104.0000000000,80660396791719696.0000000000,0.0138000000,1,0,1,0,0,0,None,0.4569593547,500007,1295576124296.0000000000,45040,B1
10000001,20000002,30000012,Asabona,-88787078299773200.0000000000,57530354513983696.0000000000,-96309075103911504.0000000000,-88791397390007200.0000000000,-88786201909693408.0000000000,57530255526273200.0000000000,57530842192169504.0000000000,96307390631301792.0000000000,96313541534761104.0000000000,0.7113000000,1,0,1,0,0,0,None,0.3228842725,500007,3075451729664.0000000000,3799,B2
10000001,20000002,30000013,Onsooh,-81778742628362000.0000000000,60252693661956896.0000000000,-86635426626176704.0000000000,-81778794870618000.0000000000,-81775151649602800.0000000000,60252536029999904.0000000000,60252695963483296.0000000000,86629107367242592.0000000000,86636044338568896.0000000000,0.9844000000,0,0,0,1,0,0,None,0.4428166329,500007,3468485663152.0000000000,45047,B2
10000001,20000002,30000014,Shamahi,-77750709738421104.0000000000,71722533435110304.0000000000,-87922010890003904.0000000000,-77752375313506208.0000000000,-77748220595916896.0000000000,71722505254969400.0000000000,71722575240330400.0000000000,87919461416316096.0000000000,87928237639952400.0000000000,0.5690000000,1,0,0,1,0,0,None,0.3552422911,500007,4388111818136.0000000000,3797,B2
10000001,20000002,30000015,Sendaya,-75035885475239808.0000000000,47720998612000000.0000000000,-95172408294045200.0000000000,-75036302944088800.0000000000,-75034909947496992.0000000000,47720939042647104.0000000000,47721024107019200.0000000000,95169889007283392.0000000000,95175559279052896.0000000000,0.0810400000,1,0,0,1,0,0,None,0.2939329721,500007,2835135884784.0000000000,45037,B2
10000001,20000002,30000016,Nazhgete,-83631155296696896.0000000000,63723785397160304.0000000000,-89813789948513904.0000000000,-83631552142160000.0000000000,-83628790224378304.0000000000,63723771871163696.0000000000,63723864808341904.0000000000,89813616892692800.0000000000,89816445093532000.0000000000,0.0139600000,0,1,0,0,0,0,None,0.3914970557,500007,1414100419584.0000000000,45039,B2
10000001,20000003,30000017,Futzchag,-64098583968529504.0000000000,41271973465565200.0000000000,-101139230377519008.0000000000,-64100883467061800.0000000000,-64092617515336896.0000000000,41271618432199800.0000000000,41272899328770000.0000000000,101138522286680992.0000000000,101143066585587008.0000000000,0.7871000000,0,0,0,1,0,0,None,0.1722285598,500007,4132975862416.0000000000,3801,B3
10000001,20000003,30000018,Kazna,-70142424691246200.0000000000,38488582153190400.0000000000,-96720410106924400.0000000000,-70146352582011000.0000000000,-70141340342553200.0000000000,38488413727223504.0000000000,38489192249684304.0000000000,96717292294777408.0000000000,96720853302116000.0000000000,1.5010000000,1,0,0,1,0,0,None,0.2312626250,500007,2506119728892.0000000000,3799,B3
10000001,20000003,30000019,Podion,-58709857801616304.0000000000,26044509386392200.0000000000,-101528995159068000.0000000000,-58710367381959104.0000000000,-58709380756752800.0000000000,26044417015128700.0000000000,26044595861270300.0000000000,101527134943692992.0000000000,101532375865627008.0000000000,0.0784200000,0,1,0,0,0,0,None,0.1097049726,500007,2620460967184.0000000000,45037,B3
10000001,20000003,30000020,Lilmad,-72855380319923904.0000000000,52909926114435800.0000000000,-108165273935480000.0000000000,-72858106676096192.0000000000,-72847571590350304.0000000000,52908524213109696.0000000000,52910418067027800.0000000000,108164428690670000.0000000000,108170125189104000.0000000000,1.1720000000,0,1,0,0,0,0,None,0.1604491933,500007,5267542872992.0000000000,3797,B3
10000070,20000788,30000021,Kuharah,-74379810853747808.0000000000,32538969531086900.0000000000,-100531188490154000.0000000000,-74384595923122000.0000000000,-74377722856504896.0000000000,32538644411469600.0000000000,32539111294772300.0000000000,100529648275428992.0000000000,100540345633738000.0000000000,2.5660000000,0,0,1,0,0,0,None,-1.0000000000,500026,5348679154648.0000000000,56098,B3
10000001,20000003,30000022,Jayneleb,-60839427954196600.0000000000,33031790950289300.0000000000,-105458726104476992.0000000000,-60846589878312896.0000000000,-60834801964736000.0000000000,33031148123022600.0000000000,33032207063566300.0000000000,105454773421070000.0000000000,105462448629452000.0000000000,0.1426000000,0,0,1,0,0,0,None,0.1138399570,500007,5893956788464.0000000000,45032,B3
10000001,20000004,30000023,Fovihi,-81553344112251200.0000000000,50451257411607400.0000000000,-51154633880983600.0000000000,-81554719363490896.0000000000,-81553223632203504.0000000000,50451104540208800.0000000000,50451270856471104.0000000000,51150013792930496.0000000000,51155952361428800.0000000000,1.0800000000,1,0,0,1,0,0,None,0.8693943492,500007,2969284249148.0000000000,45034,B
